validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Cynanchica aristata,(L.f.) P.Caputo & Del Guacchio,Dicot,perennial,forb,0.57,49.08,50.35,SR,1
Cynanchica pyrenaica  subsp. cynanchica,(L.) P.Caputo & Del Guacchio,Dicot,perennial,forb,0,56.08,43.92,SR,1
Asperula tinctoria,L.,Dicot,perennial,forb,3.34,45.83,50.82,SR,1
Aspidosperma discolor,A.DC.,Dicot,perennial,tree,48.19,39.36,12.45,CS/CSR,7
Aspidosperma spruceanum,Benth. ex Müll.Arg.,Dicot,perennial,tree,57.43,42.57,0,CS,7
Asplenium ruta-muraria,L.,Fern,perennial,forb,12.57,54.62,32.8,S/CSR,1
Asplenium septentrionale,(L.) Hoffm.,Fern,perennial,forb,23.38,23.54,53.08,R/CSR,1
Asplenium trichomanes,L.,Fern,perennial,forb,25.75,42.28,31.97,CSR,1
Asplenium viride,Huds.,Fern,perennial,forb,29.78,8.86,61.36,R/CR,1
Oclemena acuminata,(Michx.) Greene,Dicot,perennial,forb,8.39,68.63,22.99,S/SR,4
Aster alpinus,L.,Dicot,perennial,forb,10.06,60.79,29.15,S/SR,1
Aster amellus,L.,Dicot,perennial,forb,25.99,43.9,30.11,S/CSR,1
Aster bellidiastrum,Scop.,Dicot,perennial,forb,42.23,0,57.77,CR,1
Aster dumosus,Hoffm.,Dicot,perennial,forb,6.16,90.94,2.91,S,4
Symphyotrichum ericoides,(L.) G.L.Nesom,Dicot,perennial,forb,8.85,56.67,34.48,SR,2
Eurybia hemispherica,(Alexander) G.L.Nesom,Dicot,perennial,forb,8.84,83.43,7.73,S,4
Symphyotrichum laeve,(L.) Á.Löve & D.Löve,Dicot,perennial,forb,39.07,33.85,27.09,CSR,2
Symphyotrichum lanceolatum,(Willd.) G.L.Nesom,Dicot,perennial,forb,10.93,64.49,24.58,S/SR,2
Galatella linosyris  subsp. linosyris,"",Dicot,perennial,forb,6.51,79.23,14.26,S/SR,1
Symphyotrichum novae-angliae,(L.) G.L.Nesom,Dicot,perennial,forb,18.02,46.54,35.44,SR/CSR,4
Symphyotrichum patens,(Aiton) G.L.Nesom,Dicot,perennial,forb,8,83.93,8.07,S,4
Aster puniceus f. colbyi,(Benke) Shinners,Dicot,perennial,shrub,35.43,40.33,24.24,CS/CSR,2
Symphyotrichum undulatum,(L.) G.L.Nesom,Dicot,perennial,forb,18.87,36.67,44.46,SR/CSR,4
Symphyotrichum lanceolatum,(Willd.) G.L.Nesom,Dicot,perennial,forb,31.23,42.32,26.45,CSR,2
Tripolium pannonicum,(Jacq.) Dobrocz.,Dicot,perennial,forb,54.38,0,45.62,CR,1
Doellingeria umbellata,(Mill.) Nees,Dicot,perennial,forb,48.65,4.36,46.99,CR,2
Astragalus alpinus,L.,Dicot,perennial,forb,12.23,13.9,73.87,R/SR,1
Astragalus canadensis,L.,Dicot,perennial,forb,36.52,40.18,23.3,CS/CSR,2
Astragalus cicer,L.,Dicot,perennial,forb,40.62,18.89,40.49,CR/CSR,1
Astragalus frigidus,A.Gray,Dicot,perennial,forb,32.72,13.73,53.55,R/CSR,1
Astragalus humistratus,A.Gray,Dicot,perennial,forb,19.37,48.92,31.7,S/CSR,4
Astragalus rusbyi,Greene,Dicot,perennial,forb,28.46,17.18,54.37,R/CSR,4
Astrantia major,L.,Dicot,perennial,forb,59.76,0,40.24,CR,1
Astrantia minor,L.,Dicot,perennial,forb,19.14,31.58,49.29,R/CSR,1
Astrocaryum standleyanum,L.H.Bailey,Monocot,perennial,tree,61.3,37.15,1.54,CS,7
Astronium graveolens,Jacq.,Dicot,perennial,tree,53.64,34.18,12.18,CS/CSR,7
Athamanta cretensis,L.,Dicot,perennial,forb,50.34,49.66,0,CS,1
Athyrium distentifolium,Tausch ex Opiz,Fern,perennial,forb,62.31,3.61,34.07,C/CR,1
Athyrium filix-femina,(L.) Roth,Fern,perennial,forb,69.03,0,30.97,C/CR,1
Atriplex prostrata  subsp. calotheca,(Rafn) M.A.Gust.,Dicot,perennial,forb,50.42,19.21,30.37,C/CSR,1
Atriplex glabriuscula,Edmondston,Dicot,annual,forb,64.54,2.6,32.86,C/CR,1
Atriplex halimus,L.,Dicot,perennial,shrub,26.04,0,73.96,R/CR,1
Atriplex laciniata,L.,Dicot,annual,forb,45.81,26.52,27.67,C/CSR,1
Atriplex littoralis,L.,Dicot,perennial,shrub,56.31,0,43.69,CR,1
Atriplex micrantha,Ledeb.,Dicot,annual,forb,59.45,8.39,32.16,C/CR,1
Atriplex sagittata,Borkh.,Dicot,annual,forb,40.27,29.65,30.07,CSR,1
Atriplex oblongifolia,Waldst. & Kit.,Dicot,annual,forb,24.07,31.52,44.41,SR/CSR,1
Atriplex australasica,Moq.,Dicot,annual,forb,50.84,0,49.16,CR,1
Atriplex prostrata,Boucher ex DC.,Dicot,annual,forb,59.65,0,40.35,CR,1
Atriplex crassipes,J.M.Black,Dicot,annual,forb,19.44,43.52,37.05,SR/CSR,1
Atriplex lasiantha,Boiss.,Dicot,annual,forb,22.69,35.79,41.52,SR/CSR,1
Atropa belladonna,L.,Dicot,perennial,shrub,63.58,6.96,29.46,C/CR,1
Aucuba japonica,Thunb.,Dicot,perennial,tree,65.26,22.4,12.34,C/CS,1
Aulonemia effusa,(Hack.) McClure,Monocot,perennial,graminoid,37.32,62.68,0,S/CS,7
Avena barbata,Pott ex Link,Monocot,annual,graminoid,6.57,42.37,51.06,SR,1
Avena fatua,L.,Monocot,annual,graminoid,40.17,19.56,40.27,CR/CSR,1
Avena nuda,L.,Monocot,annual,graminoid,57.2,11.44,31.35,C/CSR,1
Avena sterilis,L.,Monocot,annual,graminoid,41.99,15.84,42.17,CR/CSR,1
Avena strigosa,Schreb.,Monocot,annual,graminoid,36.69,18.99,44.32,CR/CSR,1
Avenula pubescens,(Huds.) Dumort.,Monocot,perennial,graminoid,25.63,48.31,26.06,S/CSR,1
Helictochloa versicolor,(Vill.) Romero Zarco,Monocot,perennial,graminoid,14.64,85.23,0.13,S,1
Baccaurea parviflora,(Müll.Arg.) Müll.Arg.,Dicot,perennial,tree,41.99,49.43,8.58,CS,9
Baccaurea racemosa,(Reinw.) Müll.Arg.,Dicot,perennial,tree,46.58,47.87,5.54,CS,9
Bactris acanthocarpa  var. exscapa,Barb.Rodr.,Monocot,perennial,tree,52.43,37.2,10.37,CS,7
Bactris setosa,Mart.,Monocot,perennial,tree,54.32,34.96,10.71,CS,7
Hymenothrix dissecta,(A.Gray) B.G.Baldwin,Dicot,perennial,forb,69.43,0,30.57,C/CR,4
Baptisia alba,(L.) Vent.,Dicot,perennial,forb,36.94,37.96,25.1,CSR,4
Barbacenia blackii,L.B.Sm.,Monocot,perennial,forb,45.31,54.69,0,CS,7
Barbarea bracteosa,Guss.,Dicot,perennial,forb,19.43,0,80.57,R/CR,1
Barbarea intermedia,Boreau,Dicot,biennial,forb,40.91,0,59.09,CR,1
Barbarea stricta,Andrz.,Dicot,perennial,forb,26.17,0,73.83,R/CR,1
Barbarea vulgaris,W.T.Aiton,Dicot,biennial,forb,17.07,1.72,81.21,R/CR,1
Barringtonia macrostachya,Kurz,Dicot,perennial,tree,61.92,36.9,1.18,C/CS,9
Bartsia alpina,L.,Dicot,perennial,forb,7.3,58.53,34.17,SR,1
Beilschmiedia pendula,(Sw.) Hemsl.,Dicot,perennial,tree,49.8,50.2,0,CS,7
Bellardiochloa variegata,(Lam.) Kerguélen,Monocot,perennial,graminoid,11.32,70.85,17.83,S/SR,1
Aster bellidiastrum,Scop.,Dicot,perennial,forb,34.37,0,65.63,R/CR,1
Bellis perennis,L.,Dicot,perennial,forb,21.13,0,78.87,R/CR,1
Berberis vulgaris,L.,Dicot,perennial,tree,18.03,70.68,11.29,S/CS,1
Berchemia scandens,(Hill) K.Koch,Dicot,perennial,liana,11.09,80.47,8.44,S,4
Berteroa incana,(L.) DC.,Dicot,biennial,forb,10.84,43.22,45.95,SR/CSR,1
Berula erecta,(Huds.) Coville,Dicot,perennial,aquatic,25.8,0,74.2,R/CR,1
Betonica macrantha,K.Koch,Dicot,perennial,forb,46.11,33.89,20,CS/CSR,1
Betula alleghaniensis,Britton,Dicot,perennial,tree,17.86,58.5,23.64,S/CSR,2
Betula pubescens  var. litwinowii,(Doluch.) Ashburner & McAll.,Dicot,perennial,tree,31.09,48.61,20.3,S/CSR,1
Betula nana,L.,Dicot,perennial,shrub,2.44,85.63,11.92,S,1
Betula pendula,Roth,Dicot,perennial,tree,17.04,73.18,9.78,S/CS,1
Betula populifolia,Aiton,Dicot,perennial,tree,15.93,68.27,15.8,S/CS,2
Bidens andicola,Kunth,Dicot,perennial,shrub,15.4,68.98,15.62,S/SR,7
Bidens cernua,L.,Dicot,annual,forb,25.93,27.44,46.62,R/CSR,1
Bidens connata,Muhl. ex Willd.,Dicot,annual,forb,26.71,0,73.29,R/CR,1
Bidens frondosa var. minor,Hook.,Dicot,annual,forb,45.53,5.62,48.86,CR,4
Bidens radiata,Thuill.,Dicot,annual,forb,62.88,0,37.12,C/CR,1
Bidens tripartita,L.,Dicot,annual,forb,43.99,0,56.01,CR,1
Bifora radians,M.Bieb.,Dicot,annual,forb,32.66,0,67.34,R/CR,1
Biscutella laevigata,L.,Dicot,perennial,forb,46.66,0,53.34,CR,1
Persicaria bistorta,Samp.,Dicot,perennial,forb,45.39,30.13,24.48,C/CSR,1
Persicaria vivipara,(L.) Ronse Decr.,Dicot,perennial,forb,15.97,60.73,23.3,S/CSR,1
Blackstonia perfoliata,(L.) Huds.,Dicot,annual,forb,6.27,34.85,58.88,SR,1
Blechnum spicant,(L.) Roth,Fern,perennial,forb,69.4,0,30.6,C/CR,1
Muhlenbergia tricholepis,(Torr.) P.M.Peterson,Monocot,perennial,graminoid,2.3,97.7,0,S,4
Blephilia ciliata,(L.) Raf. ex Benth.,Dicot,perennial,forb,8.38,74.42,17.2,S/SR,4
Blysmus compressus,(L.) Panz. ex Link,Monocot,perennial,graminoid,14.79,62.93,22.29,S/CSR,1
Blysmus rufus,Link,Monocot,perennial,graminoid,2.9,95.3,1.81,S,1
Borago officinalis,L.,Dicot,annual,forb,57.74,0,42.26,CR,1
Alibertia dwyeri,Delprete & C.H.Perss.,Dicot,perennial,tree,54.44,38.28,7.27,CS,7
Bothriochloa insculpta,(Hochst. ex A.Rich.) A.Camus,Monocot,perennial,graminoid,10.9,47.74,41.36,SR/CSR,8
Botrychium lunaria,(L.) Sw.,Fern,perennial,forb,25.42,23.85,50.73,R/CSR,1
Bouteloua curtipendula,(Michx.) Torr. in Marcy,Monocot,perennial,graminoid,15.21,66.01,18.78,S/SR,4
Bouteloua gracilis,(Kunth) Lag. ex Griffiths,Monocot,annual,graminoid,4.74,73.1,22.16,S/SR,4
Chondrosum hirsutum,Sweet,Monocot,perennial,graminoid,12.73,70.54,16.73,S/SR,4
Chondrosum simplex,(Lag.) Kunth,Monocot,annual,graminoid,0,100,0,S,4
Bowdichia virgilioides,Kunth,Dicot,perennial,tree,21.71,73.78,4.51,S/CS,7
Brachypodium distachyon,(L.) P.Beauv.,Monocot,annual,graminoid,1.72,56.32,41.96,SR,1
Brachypodium phoenicoides,(L.) Roem. & Schult.,Monocot,perennial,graminoid,18.27,63.25,18.48,S/CSR,1
Brachypodium pinnatum,P.Beauv.,Monocot,perennial,graminoid,23.65,40.83,35.52,SR/CSR,1
Brachypodium sylvaticum,P.Beauv.,Monocot,perennial,graminoid,26.34,21.41,52.25,R/CSR,1
Brassica elongata,Ehrh.,Dicot,perennial,forb,31.58,33.97,34.45,CSR,1
Brassica napus,L.,Dicot,biennial,forb,57.99,0.26,41.75,CR,1
Brassica nigra,W.D.J.Koch,Dicot,annual,forb,64.44,0,35.56,C/CR,1
Brassica oleracea,L.,Dicot,perennial,forb,18.82,59.06,22.12,S/CSR,1
Brassica rapa,L.,Dicot,biennial,forb,57.48,0,42.52,CR,1
Briza marcowiczii,Woronow,Monocot,perennial,graminoid,10.81,45.66,43.52,SR,1
Briza media,L.,Monocot,perennial,graminoid,22.11,27.17,50.72,R/CSR,1
Bromus variegatus,M.Bieb.,Monocot,perennial,graminoid,19.9,60.4,19.69,S/CSR,1
Bromus arvensis,L.,Monocot,annual,graminoid,26.21,45.22,28.57,S/CSR,1
Bromus benekenii,(Lange) Trimen,Monocot,perennial,graminoid,9.34,59.37,31.29,S/SR,1
Bromus anomalus,Rupr. ex E.Fourn.,Monocot,perennial,graminoid,11.83,48.8,39.37,SR/CSR,2
Bromus commutatus,Schrad.,Monocot,perennial,graminoid,26.55,29.3,44.15,R/CSR,1
Bromus diandrus,Roth,Monocot,perennial,graminoid,22.73,38.9,38.37,SR/CSR,1
Bromus erectus,Huds.,Monocot,perennial,graminoid,11.81,64.39,23.8,S/SR,1
Bromus grossus,DC.,Monocot,annual,graminoid,12.89,43.46,43.64,SR/CSR,1
Bromus hordeaceus,L.,Monocot,annual,graminoid,17.4,47.03,35.57,SR/CSR,1
Bromus inermis,Leyss.,Monocot,perennial,graminoid,37.28,38.8,23.93,CS/CSR,1
Bromus japonicus,Thunb.,Monocot,annual,graminoid,13.35,54.84,31.81,S/CSR,1
Bromus kalmii,A.Gray,Monocot,perennial,graminoid,16.38,55.37,28.25,S/CSR,2
Bromus lanceolatus,Roth,Monocot,annual,graminoid,4.53,43.75,51.71,SR,1
Bromus madritensis,L.,Monocot,annual,graminoid,8.04,31.12,60.84,R/SR,1
Bromus racemosus,L.,Monocot,annual,graminoid,44.96,6.7,48.34,CR,1
Bromus ramosus,Huds.,Monocot,perennial,graminoid,36.64,29.96,33.39,CSR,1
Bromus secalinus,L.,Monocot,annual,graminoid,31.9,42.41,25.68,CSR,1
Bromus squarrosus var. cyri,(Trin.) Griseb.,Monocot,annual,graminoid,35.52,16.43,48.05,CR/CSR,1
Bromus sterilis,L.,Monocot,annual,graminoid,15.99,40.1,43.91,SR/CSR,1
Brosimum alicastrum,Sw.,Dicot,perennial,tree,36.03,55.5,8.47,CS,7
Brosimum guianense,Huber ex Ducke,Dicot,perennial,tree,36.65,49.01,14.33,CS/CSR,7
Brosimum utile,(Kunth) Oken,Dicot,perennial,tree,49.33,50.51,0.16,CS,7
Broussonetia papyrifera,(L.) Vent.,Dicot,perennial,tree,59.08,22.41,18.51,C/CSR,1
Bryonia alba,L.,Dicot,perennial,herbaceous vine,55.93,1.28,42.78,CR,1
Terminalia tetraphylla,(Aubl.) Gere & Boatwr.,Dicot,perennial,tree,22.12,66.06,11.82,S/CS,7
Buchnera americana,L.,Dicot,perennial,forb,6.33,79.39,14.28,S/SR,4
Buddleja davidii,Franch.,Dicot,perennial,tree,48.26,44.55,7.19,CS,1
Buglossoides arvensis,(L.) I.M.Johnst.,Dicot,annual,forb,31.68,0,68.32,R/CR,1
Aegonychon purpurocaeruleum,(L.) Holub,Dicot,perennial,forb,26.86,17.58,55.56,R/CSR,1
Bulbostylis eleocharoides,Kral & M.T.Strong,Monocot,perennial,graminoid,13.79,86.21,0,S,7
Bulbostylis emmerichiae,T.Koyama,Monocot,perennial,graminoid,6.3,93.7,0,S,7
Bulbostylis lombardii,Kral & M.T.Strong,Monocot,perennial,graminoid,1.1,98.9,0,S,7
Bulbostylis paradoxa,(Spreng.) Lindm.,Monocot,perennial,graminoid,1.78,98.22,0,S,7
Bunias orientalis,L.,Dicot,perennial,forb,65.13,0,34.87,C/CR,1
Bunium bulbocastanum,L.,Dicot,perennial,forb,45.74,0,54.26,CR,1
Buphthalmum salicifolium,L.,Dicot,perennial,forb,24.35,16.62,59.03,R/CSR,1
Bupleurum ranunculoides,L.,Dicot,perennial,forb,19.34,79.68,0.98,S/CS,1
Bupleurum rotundifolium,L.,Dicot,annual,forb,34.31,33.03,32.66,CSR,1
Bupleurum stellatum,L.,Dicot,perennial,forb,12.32,60.5,27.18,S/CSR,1
Bupleurum tenuissimum,L.,Dicot,annual,forb,5.66,14.68,79.66,R/SR,1
Buxus sempervirens,L.,Dicot,perennial,tree,10.87,89.13,0,S,1
Byrsonima dealbata,Griseb.,Dicot,perennial,shrub,35.89,64.11,0,S/CS,7
Byrsonima sericea var. typica,Nied.,Dicot,perennial,tree,35.65,62.79,1.56,S/CS,7
Byrsonima verbascifolia,Rich. ex Juss.,Dicot,perennial,tree,43.61,56.39,0,CS,7
Arnoglossum plantagineum,Raf.,Dicot,perennial,forb,28.97,71.03,0,S/CS,4
Paubrasilia echinata,"(Lam.) Gagnon, H.C.Lima & G.P.Lewis",Dicot,perennial,tree,14.44,67.59,17.97,S/SR,7
Calamagrostis arundinacea,(L.) Roth,Monocot,perennial,graminoid,25.04,55.47,19.49,S/CSR,1
Calamagrostis canescens,(Weber) Roth,Monocot,perennial,graminoid,23.54,40.87,35.59,SR/CSR,1
Calamagrostis purpurea,Trin.,Monocot,perennial,graminoid,26.34,43.76,29.9,CSR,1
Calamagrostis varia,Host,Monocot,perennial,graminoid,25.52,42.3,32.18,CSR,1
Calamagrostis villosa,J.F.Gmel.,Monocot,perennial,graminoid,19.38,42.27,38.35,SR/CSR,1
Clinopodium nepeta,(L.) Kuntze,Dicot,perennial,shrub,11.36,82.25,6.39,S,1
Calea coronopifolia,Sch.Bip. ex Krasch.,Dicot,perennial,forb,8.26,91.74,0,S,7
Calendula arvensis,M.Bieb.,Dicot,annual,forb,36.15,0,63.85,R/CR,1
Calepina irregularis,Thell.,Dicot,biennial,forb,35.91,0,64.09,R/CR,1
Calicotome spinosa,(L.) Link,Dicot,perennial,tree,9.37,70.38,20.24,S/SR,1
Calla palustris,L.,Monocot,perennial,forb,64.76,0,35.24,C/CR,1
Adinobotrys atropurpureus,(Wall.) Dunn,Dicot,perennial,tree,52.83,47.17,0,CS,9
Calliandra linearis,Benth.,Dicot,perennial,shrub,31.47,68.53,0,S/CS,7
Calliandra parvifolia,(Hook. & Arn.) Speg.,Dicot,perennial,shrub,7.38,60.77,31.86,S/SR,7
Callichlamys latifolia,(Rich.) K.Schum.,Dicot,perennial,liana,63.63,20.66,15.71,C/CSR,7
Callitriche hamulata,Kütz. ex W.D.J.Koch,Dicot,perennial,aquatic,0.97,25.52,73.51,R/SR,1
Callitriche palustris,L.,Dicot,perennial,aquatic,2.64,0,97.36,R,1
Callitriche platycarpa,Kütz.,Dicot,perennial,aquatic,0.14,0,99.86,R,1
Callitriche stagnalis,Scop.,Dicot,perennial,aquatic,0,0,100,R,1
Calluna vulgaris,(L.) Hill,Dicot,perennial,shrub,0,91.99,8.01,S,1
Calophyllum brasiliense,Cambess.,Dicot,perennial,tree,55.27,32.3,12.43,C/CSR,7
Calophyllum longifolium,Willd.,Dicot,perennial,tree,57.45,42.55,0,CS,7
Caltha palustris,L.,Dicot,perennial,forb,59.13,0,40.87,CR,1
Calystegia sepium,(L.) R.Br.,Dicot,perennial,herbaceous vine,44.85,8.12,47.03,CR,1
Calystegia silvatica,Griseb.,Dicot,perennial,forb,45.11,0,54.89,CR,1
Calystegia soldanella,(L.) R.Br.,Dicot,perennial,forb,49.41,0,50.59,CR,1
Camelina microcarpa,Andrz. ex DC.,Dicot,biennial,forb,34.92,0,65.08,R/CR,1
Campanula barbata,L.,Dicot,perennial,forb,18.44,28.91,52.65,R/CSR,1
Campanula cenisia,L.,Dicot,perennial,forb,3.7,49.71,46.59,SR,1
Campanula cervicaria,L.,Dicot,perennial,forb,21.38,39.75,38.87,SR/CSR,1
Campanula cochleariifolia,Lam.,Dicot,perennial,forb,3.63,29.68,66.69,R/SR,1
Campanula collina,Sims,Dicot,perennial,forb,30.82,35.86,33.32,CSR,1
Campanula excisa,Schleich. ex Murith,Dicot,perennial,forb,0,3.79,96.21,R,1
Campanula glomerata,L.,Dicot,perennial,forb,54.37,12.43,33.2,C/CSR,1
Campanula latifolia,L.,Dicot,perennial,forb,44.82,0,55.18,CR,1
Campanula persicifolia,L.,Dicot,perennial,forb,20.78,36.78,42.44,SR/CSR,1
Campanula rainerii,Perp.,Dicot,perennial,forb,22.53,0,77.47,R/CR,1
Campanula rapunculoides,L.,Dicot,perennial,forb,35.03,0,64.97,R/CR,1
Campanula rapunculus,L.,Dicot,perennial,forb,28.99,0,71.01,R/CR,1
Campanula rotundifolia,L.,Dicot,perennial,forb,7.37,23.6,69.03,R/SR,1
Campanula scheuchzeri,Vill.,Dicot,perennial,forb,3.13,52.28,44.59,SR,1
Campanula sibirica,L.,Dicot,biennial,forb,18.96,48.57,32.47,SR/CSR,1
Campanula spicata,L.,Dicot,perennial,forb,56.78,0,43.22,CR,1
Campanula trachelium,L.,Dicot,perennial,forb,44.07,0,55.93,CR,1
Campanula tridentata,Schreb.,Dicot,perennial,forb,12.28,60.3,27.42,S/CSR,1
Canarium littorale,Blume,Dicot,perennial,tree,56.91,43.09,0,CS,9
Canarium littorale,Blume,Dicot,perennial,tree,44.12,55.88,0,CS,9
Cannabis sativa,L.,Dicot,annual,forb,45.27,22.71,32.02,CR/CSR,9
Morisonia frondosa,(Jacq.) Christenh. & Byng,Dicot,perennial,tree,46.26,47.72,6.01,CS,7
Capsella bursa-pastoris,Medik.,Dicot,annual,forb,41.05,0,58.95,CR,1
Capsella grandiflora,Boiss.,Dicot,perennial,forb,23.98,0,76.02,R/CR,1
Capsella rubella,Reut.,Dicot,annual,forb,38.46,0,61.54,CR,1
Caragana arborescens,Lam.,Dicot,perennial,tree,19.66,52.59,27.74,S/CSR,1
Caraipa densifolia,Mart.,Dicot,perennial,tree,37.65,50.56,11.79,CS/CSR,7
Carapa guianensis,Aubl.,Dicot,perennial,tree,67.85,32.15,0,C/CS,7
Cardamine bellidifolia,L.,Dicot,perennial,forb,4.64,0,95.36,R,1
Cardamine bulbifera,Crantz,Dicot,perennial,forb,23.85,0,76.15,R/CR,1
Cardamine heptaphylla,(Vill.) O.E.Schulz,Dicot,perennial,forb,53.72,0,46.28,CR,1
Cardamine flexuosa,With.,Dicot,annual,forb,7.1,26.21,66.69,R/SR,1
Cardamine parviflora,L.,Dicot,annual,forb,7.09,0.16,92.75,R,1
Cardamine pratensis,L.,Dicot,perennial,forb,36.97,10.88,52.15,CR/CSR,1
Cardamine resedifolia,L.,Dicot,annual,forb,3.96,62.41,33.62,S/SR,1
Arabidopsis arenosa,(L.) Lawalrée,Dicot,perennial,forb,9.81,24.95,65.24,R/SR,1
Arabidopsis halleri,(L.) O'Kane & Al-Shehbaz,Dicot,perennial,forb,14.4,14.79,70.81,R/SR,1
Arabidopsis lyrata  subsp. petraea,(L.) O'Kane & Al-Shehbaz,Dicot,perennial,forb,3.88,0,96.12,R,1
Lepidium draba,L.,Dicot,perennial,forb,57.11,0,42.89,CR,1
Carduus acanthoides,L.,Dicot,biennial,forb,65.7,0,34.3,C/CR,1
Carduus defloratus,L.,Dicot,perennial,forb,75.03,0,24.97,C/CR,1
Carex nigra,(L.) Reichard,Monocot,perennial,graminoid,36.43,51.16,12.41,CS/CSR,1
Carex acutiformis,Ehrh.,Monocot,perennial,graminoid,51.92,25.8,22.27,C/CSR,1
Carex alba,Scop.,Monocot,perennial,graminoid,5.55,57.89,36.56,SR,1
Carex appropinquata,Schumach.,Monocot,perennial,graminoid,22.32,52.45,25.24,S/CSR,1
Carex aquatilis,Wahlenb.,Monocot,perennial,graminoid,31.14,65.29,3.57,S/CS,1
Carex arenaria,L.,Monocot,perennial,graminoid,22.67,55.03,22.3,S/CSR,1
Carex heteroneura  var. heteroneura,"",Monocot,perennial,graminoid,17.26,57.95,24.79,S/CSR,1
Carex atrofusca,Schkuhr,Monocot,perennial,graminoid,5.92,58.15,35.93,SR,1
Carex baldensis,L.,Monocot,perennial,graminoid,29.7,62.77,7.53,S/CS,1
Carex bicknellii,Britton & A.Brown,Monocot,perennial,graminoid,14.79,51.31,33.9,SR/CSR,4
Carex bigelowii,Torr. ex Schwein.,Monocot,perennial,graminoid,13.48,65.48,21.04,S/SR,1
Carex brevior,(Dewey) Mack.,Monocot,perennial,graminoid,12.57,57.5,29.93,S/CSR,4
Carex brizoides,L.,Monocot,perennial,graminoid,19.71,52.51,27.79,S/CSR,1
Carex buxbaumii,Wahlenb.,Monocot,perennial,graminoid,51.33,42.83,5.84,CS,1
Carex cespitosa,L.,Monocot,perennial,graminoid,30.96,41.79,27.25,CSR,1
Carex capillaris  subsp. capillaris,"",Monocot,perennial,graminoid,0.8,85.35,13.85,S,1
Carex caryophyllea,Latourr.,Monocot,perennial,graminoid,7.96,68.96,23.09,S/SR,1
Carex cherokeensis,Schwein. & Torr.,Monocot,perennial,graminoid,25.32,32.48,42.2,CSR,4
Carex chordorrhiza,L.f.,Monocot,perennial,graminoid,4.88,62.75,32.37,S/SR,1
Carex canescens  subsp. canescens,"",Monocot,perennial,graminoid,14.97,44.81,40.21,SR/CSR,1
Carex curvula,All.,Monocot,perennial,graminoid,5.97,94.03,0,S,1
Carex curvula,All.,Monocot,perennial,graminoid,11.94,69.91,18.15,S/SR,1
Carex davalliana,Sm.,Monocot,perennial,graminoid,7.09,82.84,10.07,S,1
Carex demissa,Hornem.,Monocot,perennial,graminoid,16.36,44.4,39.25,SR/CSR,1
Carex pallidula,Harmaja,Monocot,perennial,graminoid,13.08,40.73,46.19,SR/CSR,1
Carex dioica,L.,Monocot,perennial,graminoid,0,86.25,13.75,S,1
Carex distans,L.,Monocot,perennial,graminoid,12.2,55.71,32.09,S/CSR,1
Carex divulsa,Stokes,Monocot,perennial,graminoid,15.92,47.2,36.87,SR/CSR,1
Carex echinata,Murray,Monocot,perennial,graminoid,5.55,83.14,11.31,S,1
Carex elata,All.,Monocot,perennial,graminoid,13.35,69.68,16.97,S/SR,1
Carex elongata,L.,Monocot,perennial,graminoid,20.91,32.35,46.74,SR/CSR,1
Carex extensa,Gooden.,Monocot,perennial,graminoid,7.8,92.2,0,S,1
Carex austroalpina,Bech.,Monocot,perennial,graminoid,15.55,73.31,11.14,S/CS,1
Carex ferruginea,Scop.,Monocot,perennial,graminoid,13.71,65.01,21.28,S/SR,1
Carex firma,Host,Monocot,perennial,graminoid,3.65,86.94,9.41,S,1
Carex flacca,Schreb.,Monocot,perennial,graminoid,33.26,56.58,10.16,S/CSR,1
Carex flava,L.,Monocot,perennial,graminoid,12.47,78.34,9.19,S/CS,1
Carex foenea,Willd.,Monocot,perennial,graminoid,14.26,51.61,34.13,SR/CSR,2
Carex frigida,All.,Monocot,perennial,graminoid,23.85,47.56,28.59,S/CSR,1
Carex fritschii,Waisb.,Monocot,perennial,graminoid,17.2,62.07,20.72,S/CSR,1
Carex fuscula,d'Urv.,Monocot,perennial,graminoid,10.52,72.42,17.07,S/SR,7
Carex geophila,Mack.,Monocot,perennial,graminoid,7.06,88.05,4.89,S,4
Carex halleriana,Asso,Monocot,perennial,graminoid,9.37,72.13,18.5,S/SR,1
Carex hirta,L.,Monocot,perennial,graminoid,19.67,20.34,59.99,R/CSR,1
Carex hostiana,DC.,Monocot,perennial,graminoid,6,71.4,22.59,S/SR,1
Carex houghtoniana,Torr. ex Dewey,Monocot,perennial,graminoid,23.74,47.53,28.72,S/CSR,2
Carex humilis,Leyss.,Monocot,perennial,graminoid,15.65,55.57,28.78,S/CSR,1
Carex lachenalii,Schkuhr,Monocot,perennial,graminoid,4.31,63.02,32.66,S/SR,1
Carex lasiocarpa  var. occultans,(Franch.) Kük.,Monocot,perennial,graminoid,23.26,72.51,4.23,S/CS,1
Carex colchica,J.Gay,Monocot,perennial,graminoid,10.13,69.8,20.08,S/SR,1
Carex limosa,L.,Monocot,perennial,graminoid,4.32,57.41,38.27,SR,1
Carex liparocarpos,Gaudin,Monocot,perennial,graminoid,7.8,62.2,30,S/SR,1
Carex magellanica  subsp. irrigua,(Wahlenb.) Hiitonen,Monocot,perennial,graminoid,10.08,46.15,43.78,SR,1
