,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
396,Allium chamaespathum,7.0,9.0,3.0,6.5,4.5,0.0
397,Allium circinatum,7.5,11.0,1.0,8.0,2.0,0.5
398,Allium commutatum,7.5,10.0,2.0,7.5,7.0,2.0
399,Allium corsicum,9.0,9.0,5.0,7.0,5.0,4.0
400,Allium cupani,8.0,4.0,3.0,5.0,5.0,0.0
401,Allium cyrilli,8.0,10.0,4.5,6.5,4.0,0.0
402,Allium decipiens,6.3,5.4,5.3,NA,NA,NA
403,Allium dentiferum,7.0,11.0,6.0,8.0,7.0,0.0
404,Allium denudatum,8.0,4.8,3.8,NA,NA,NA
405,Allium dilatatum,6.0,11.0,2.0,8.0,3.0,1.0
406,Allium ericetorum,8.3,5.5,5.0,5.0,2.7,0.0
407,Allium erubescens,8.0,5.5,4.5,NA,NA,NA
408,Allium fistulosum,8.5,7.0,5.0,6.0,6.5,0.0
409,Allium flavescens,8.0,4.8,4.0,NA,NA,NA
410,Allium flavum,8.5,6.5,3.0,6.8,2.0,0.0
411,Allium frigidum,8.1,7.5,3.8,7.1,4.0,0.1
412,Allium garganicum,9.0,8.0,2.0,8.0,2.0,0.0
413,Allium gomphrenoides,8.0,11.0,3.0,7.0,2.0,1.0
414,Allium guttatum,7.8,x,3.6,7.0,2.5,0.5
415,Allium hirtovaginatum,8.0,11.0,1.0,8.0,2.0,0.0
416,Allium inaequale,8.0,5.3,4.5,NA,NA,NA
417,Allium insubricum,8.0,3.5,3.0,6.0,4.0,0.0
418,Allium junceum,7.0,11.0,5.0,7.0,4.0,0.0
419,Allium kermesinum,NA,3.0,NA,NA,NA,NA
420,Allium lineare,8.5,4.0,4.0,6.0,1.0,0.0
421,Allium lojaconoi,9.0,10.0,1.0,6.0,1.0,0.0
422,Allium longanum,9.0,12.0,1.0,8.0,3.0,1.0
423,Allium lusitanicum,8.8,5.7,2.3,6.3,2.0,0.0
424,Allium marginatum,8.0,8.0,4.0,8.0,4.0,0.0
425,Allium marschallianum,8.0,5.8,5.0,NA,NA,NA
426,Allium melanantherum,NA,NA,3.0,NA,NA,NA
427,Allium melitense,9.0,10.0,1.0,7.0,1.0,0.0
428,Allium moly,9.0,7.0,4.0,8.0,3.0,0.0
429,Allium moschatum,8.0,7.7,3.6,8.3,2.7,0.0
430,Allium narcissiflorum,9.0,3.5,3.0,4.0,2.0,0.0
431,Allium neapolitanum,7.3,9.3,4.3,7.3,6.7,0.3
432,Allium nebrodense,9.0,4.0,3.0,2.0,2.0,0.0
433,Allium nigrum,8.0,9.3,4.0,7.0,6.3,0.0
434,Allium obliquum,8.5,5.0,3.8,NA,NA,NA
435,Allium obtusiflorum,9.0,10.0,2.0,4.0,2.0,0.0
436,Allium oleraceum,7.3,x,3.4,6.4,3.7,0.0
437,Allium palentinum,9.0,3.0,1.0,7.0,1.0,NA
438,Allium pallens,7.0,9.3,3.0,7.0,5.0,0.0
439,Allium paniculatum,7.7,6.3,x,6.0,5.0,0.0
440,Allium paradoxum,6.0,6.7,5.0,6.3,7.0,0.3
441,Allium parciflorum,8.0,9.0,3.0,x,3.0,0.0
442,Allium pendulinum,7.0,8.5,4.0,7.0,7.5,0.0
443,Allium platakisii,8.0,11.0,2.0,8.0,8.0,NA
444,Allium podolicum,8.0,4.8,4.5,NA,NA,NA
445,Allium polyanthum,7.0,7.7,4.0,7.0,5.0,0.0
446,Allium regelianum,8.0,5.6,6.0,NA,NA,NA
447,Allium roseum,7.4,8.6,3.4,7.0,x,0.0
448,Allium rotundum,7.6,x,4.1,7.7,4.5,0.0
449,Allium rubrovittatum,9.0,NA,2.0,8.0,2.0,NA
450,Allium rupestre,8.0,5.5,5.0,NA,NA,NA
451,Allium rupicola,NA,11.0,2.0,8.0,NA,0.0
452,Allium sativum,7.7,7.0,5.3,7.0,6.0,0.3
453,Allium saxatile,8.0,5.0,3.0,6.0,3.0,0.0
454,Allium scaberrimum,7.0,8.0,4.0,8.0,7.0,0.0
455,Allium schoenoprasum,7.6,3.9,7.4,5.9,x,0.0
456,Allium scorodoprasum,6.4,x,x,6.8,6.7,0.0
457,Allium scorzonerifolium,9.0,6.0,8.0,5.0,3.0,NA
458,Allium sibthorpianum,8.1,5.3,4.3,NA,NA,NA
459,Allium siculum,6.5,7.5,4.0,4.0,5.0,0.0
460,Allium sphaerocephalon,8.7,x,2.7,7.9,2.0,0.0
461,Allium stamineum,NA,NA,2.0,8.0,NA,0.0
462,Allium staticiforme,8.0,11.0,4.0,9.0,4.0,3.0
463,Allium strictum,8.5,4.9,3.1,5.7,1.7,0.0
464,Allium suaveolens,8.3,5.8,7.8,8.5,2.3,0.0
465,Allium subhirsutum,7.0,9.3,4.0,7.3,6.3,0.3
466,Allium tardans,7.0,NA,3.0,8.0,3.0,0.0
467,Allium tenuiflorum,7.0,7.0,3.0,6.0,4.0,0.0
468,Allium trifoliatum,7.7,9.3,4.3,8.0,6.3,0.3
469,Allium triquetrum,6.0,8.5,4.0,6.7,6.7,0.0
470,Allium ursinum,x,x,x,7.4,7.6,0.0
471,Allium victorialis,x,x,x,x,x,0.0
472,Allium vineale,6.4,6.4,4.1,6.4,6.4,0.3
473,Allosorus acrosticus,7.0,9.3,2.0,7.0,3.5,0.0
474,Allosorus guanchicus,6.0,8.0,2.0,3.0,1.0,0.0
475,Allosorus persicus,7.8,7.9,3.2,6.5,3.0,0.0
476,Allosorus pteridioides,7.7,x,2.8,5.0,2.0,0.0
477,Allosorus tinaei,8.0,9.0,2.0,3.0,1.0,0.0
478,Alnus cordata,7.5,6.3,6.5,6.5,6.5,0.0
479,Alnus glutinosa,5.7,5.6,9.2,5.9,6.3,0.6
480,Alnus incana,6.1,4.0,7.1,7.3,5.8,0.0
481,Alnus viridis,7.3,3.0,6.1,4.7,5.9,0.0
482,Alopecurus aequalis,8.4,4.3,9.1,5.2,x,0.4
483,Alopecurus arundinaceus,8.3,x,7.5,6.0,x,0.0
484,Alopecurus bulbosus,8.0,6.8,7.5,7.0,5.8,2.5
485,Alopecurus creticus,NA,9.0,8.0,6.0,NA,0.0
486,Alopecurus geniculatus,8.0,5.9,8.3,6.7,6.5,1.0
487,Alopecurus gerardi,8.5,2.5,5.0,4.0,2.5,0.0
488,Alopecurus himalaicus,NA,NA,5.0,NA,NA,NA
489,Alopecurus magellanicus,8.0,2.0,7.5,5.0,3.0,0.0
490,Alopecurus myosuroides,7.0,x,x,6.9,6.5,0.1
491,Alopecurus pratensis,6.9,4.7,x,5.8,x,0.4
492,Alopecurus rendlei,7.7,8.3,7.7,7.0,7.0,0.7
493,Alopecurus riloensis,NA,NA,5.8,NA,NA,NA
494,Alopecurus setarioides,6.0,11.0,8.0,7.0,7.0,0.0
495,Alopecurus utriculatus,8.0,8.0,6.5,7.7,5.0,1.3
496,Alopecurus vaginatus,8.0,5.0,4.5,NA,NA,NA
497,Althaea armeniaca,8.0,6.3,6.0,NA,NA,NA
498,Althaea cannabina,7.9,7.0,x,6.7,5.7,0.0
499,Althaea hirsuta,7.9,x,3.8,7.3,x,0.2
500,Althaea officinalis,7.2,x,7.2,7.9,5.3,1.9
501,Althenia filiformis,8.0,8.5,12.0,7.5,6.5,5.5
502,Althenia orientalis,8.0,9.0,12.0,8.0,6.0,8.0
503,Alyssoides utriculata,8.5,x,4.0,7.0,2.5,0.0
504,Alyssum alyssoides,8.8,6.1,2.9,7.8,1.8,0.0
505,Alyssum bosniacum,8.4,5.1,3.1,7.6,1.5,0.0
506,Alyssum calycocarpum,8.0,6.3,3.5,NA,NA,NA
507,Alyssum cuneifolium,9.0,3.0,2.0,7.0,1.0,0.0
508,Alyssum diffusum,9.0,4.0,2.0,8.0,2.0,0.0
509,Alyssum doerfleri,9.0,7.0,2.0,8.0,3.0,0.0
510,Alyssum foliosum,8.0,9.0,3.0,7.0,6.0,0.0
511,Alyssum granatense,8.3,7.8,2.7,5.9,4.4,0.0
512,Alyssum hirsutum,8.0,5.8,3.8,NA,NA,NA
513,Alyssum idaeum,9.0,6.0,3.0,8.0,6.0,0.0
514,Alyssum kotovii,8.0,6.3,3.5,NA,NA,NA
515,Alyssum lassiticum,NA,7.0,NA,NA,NA,0.0
516,Alyssum lenense,8.5,3.8,4.3,NA,NA,NA
517,Alyssum minutum,8.3,6.7,3.3,8.0,3.0,0.0
518,Alyssum montanum aggr.,8.8,x,2.5,x,1.5,0.0
519,Alyssum orophilum,9.0,3.0,4.0,5.0,4.0,NA
520,Alyssum pogonocarpum,8.0,10.0,1.0,8.0,1.0,0.0
521,Alyssum repens,NA,6.0,NA,NA,NA,NA
522,Alyssum rossetii,9.0,9.0,2.0,7.0,1.0,0.0
523,Alyssum rostratum,8.0,5.5,4.0,NA,NA,NA
524,Alyssum siculum,8.5,7.0,3.0,8.0,3.0,0.0
525,Alyssum simplex,9.0,x,2.8,7.0,2.0,0.0
526,Alyssum smyrnaeum,8.3,7.8,3.9,7.0,6.0,0.0
527,Alyssum sphacioticum,9.0,7.0,4.0,8.0,5.0,0.0
528,Alyssum stribrnyi,8.4,6.4,3.8,7.6,2.8,0.0
529,Alyssum strigosum,8.5,x,3.5,8.0,4.5,0.5
530,Alyssum subalpinum,8.0,6.5,3.5,NA,NA,NA
531,Alyssum trichostachyum,8.0,3.8,4.0,NA,NA,NA
532,Alyssum turkestanicum,8.5,5.8,3.3,8.0,1.0,0.0
533,Alyssum umbellatum,8.5,x,3.3,8.0,6.0,5.0
534,Alyssum wulfenianum,8.8,2.8,3.3,8.5,1.3,0.0
535,Amaranthus acutilobus,9.0,9.0,5.0,7.0,9.0,0.0
536,Amaranthus albus,8.4,x,3.7,7.0,7.3,0.8
537,Amaranthus blitoides,8.8,x,3.8,7.2,8.0,0.3
538,Amaranthus blitum,7.9,x,4.4,6.8,7.9,0.3
539,Amaranthus blitum aggr.,NA,8.0,NA,NA,NA,NA
540,Amaranthus crispus,8.7,7.8,4.3,6.3,7.7,0.7
541,Amaranthus deflexus,8.0,8.9,4.1,7.0,7.4,0.3
542,Amaranthus emarginatus,8.0,7.7,4.0,7.0,8.0,0.0
543,Amaranthus graecizans,8.5,x,4.1,7.8,7.9,0.1
544,Amaranthus hybridus aggr.,8.1,x,4.6,7.1,7.3,0.5
545,Amaranthus muricatus,8.0,7.5,4.0,7.0,7.5,0.0
546,Amaranthus retroflexus,8.0,x,4.6,7.0,7.9,0.6
547,Amaranthus viridis,8.0,9.0,4.7,7.0,8.0,0.3
548,Ambrosia artemisiifolia,8.9,7.2,4.0,7.6,6.2,0.2
549,Ambrosia maritima,8.5,9.0,5.5,8.0,5.5,1.5
550,Ambrosia psilostachya,8.8,7.5,3.4,7.8,x,0.2
551,Ambrosina bassii,7.0,7.5,4.0,4.0,4.5,0.0
552,Amelanchier lamarckii,6.7,6.8,4.7,x,3.3,0.0
553,Amelanchier ovalis,7.5,x,3.4,8.1,3.0,0.0
554,Amelanchier spicata,7.0,4.0,4.0,NA,3.0,0.0
555,Ammannia auriculata,7.0,8.5,9.0,5.0,7.0,0.0
556,Ammannia baccifera,7.0,8.0,9.0,5.0,7.0,0.0
557,Ammannia verticillata,8.0,8.3,8.5,6.0,5.0,0.0
558,Ammi crinitum,9.0,10.0,4.0,5.0,2.0,0.0
559,Ammi majus,7.7,8.6,3.7,7.5,6.7,0.2
560,Ammi visnaga,8.5,8.5,5.0,6.5,7.0,0.0
561,Ammoides pusilla,7.0,9.0,2.0,5.0,2.0,0.0
562,Ammophila arenaria,8.8,x,4.2,7.2,4.8,2.6
563,Amorpha fruticosa,7.1,6.9,5.5,6.3,6.0,0.3
564,Ampelodesmos mauritanicus,8.5,10.0,2.0,8.0,3.0,0.0
565,Anacamptis boryi,7.0,10.0,5.0,6.0,4.0,0.0
566,Anacamptis collina,8.0,9.0,4.0,5.0,3.3,0.3
567,Anacamptis coriophora,7.8,x,x,5.8,2.9,0.2
568,Anacamptis morio,7.6,x,x,x,3.1,0.1
569,Anacamptis palustris aggr.,8.3,x,8.1,7.7,x,0.9
570,Anacamptis papilionacea,7.7,9.0,3.7,6.7,4.0,0.3
571,Anacamptis pyramidalis,7.8,x,3.4,8.2,2.5,0.0
572,Anacamptis sancta,7.0,11.0,5.0,6.0,5.0,0.0
573,Anacyclus clavatus,8.3,7.7,2.7,5.3,5.7,0.0
574,Anacyclus radiatus,8.0,8.5,3.5,6.0,5.5,0.0
575,Anacyclus valentinus,8.0,8.0,3.0,7.0,6.0,0.0
576,Anagallis arvensis,6.8,6.2,4.4,x,x,0.3
577,Anagallis arvensis aggr.,7.0,6.5,5.0,7.0,6.0,1.0
578,Anagallis crassifolia,9.0,9.0,2.0,2.0,1.0,0.0
579,Anagallis foemina,7.9,6.7,3.7,7.8,5.2,0.3
580,Anagallis minima,7.8,x,6.9,4.2,2.8,0.0
581,Anagallis monelli,9.0,8.5,1.5,3.5,2.5,0.0
582,Anagallis tenella,7.7,x,8.9,4.8,2.0,0.0
583,Anagyris foetida,7.7,9.0,3.3,7.0,5.3,0.0
584,Anarrhinum bellidifolium,8.3,7.2,3.0,3.3,2.5,0.0
585,Anarrhinum corsicum,7.0,8.0,5.0,4.0,4.0,0.0
586,Anarrhinum duriminium,9.0,8.0,2.0,2.0,1.0,NA
587,Anchusa aegyptiaca,8.0,11.0,2.0,8.0,7.0,1.0
588,Anchusa azurea,8.7,x,3.5,7.2,5.2,0.0
589,Anchusa capellii,9.0,9.0,1.0,1.0,1.0,0.0
590,Anchusa cespitosa,9.0,7.0,5.0,7.0,5.0,0.0
591,Anchusa crispa,9.0,9.0,3.5,5.5,4.5,2.5
592,Anchusa gmelinii,8.0,5.0,4.8,NA,NA,NA
593,Anchusa hybrida,8.0,9.3,4.0,7.0,6.0,0.0
594,Anchusa leptophylla,8.0,6.0,5.0,NA,NA,NA
595,Anchusa littorea,9.0,10.0,1.0,1.0,1.0,0.0
596,Anchusa ochroleuca,8.0,x,3.9,7.0,6.0,0.0
597,Anchusa officinalis,8.3,7.0,3.5,7.0,5.2,0.0
598,Anchusa popovii,8.0,6.3,5.5,NA,NA,NA
599,Anchusa procera,7.8,x,3.8,8.0,3.5,0.0
600,Anchusa strigosa,NA,11.0,NA,NA,NA,NA
601,Anchusa undulata,8.0,7.5,2.0,5.5,5.5,0.0
602,Anchusella cretica,7.0,8.0,3.0,5.0,6.0,0.0
603,Anchusella variegata,7.0,11.0,3.0,7.0,7.0,0.0
604,Andrachne telephioides,8.1,7.9,3.3,7.7,6.3,0.0
605,Androcymbium rechingeri,8.0,12.0,2.0,9.0,7.0,3.0
606,Andromeda polifolia,8.6,4.0,8.8,1.6,1.0,0.0
607,Andropogon distachyos,8.7,9.0,2.7,8.0,3.3,0.0
608,Androsace adfinis,7.0,2.0,5.0,2.0,2.0,0.0
609,Androsace alpina,9.0,1.0,6.0,2.0,3.3,0.0
610,Androsace brevis,7.0,2.0,5.0,2.0,2.0,0.0
611,Androsace brigantiaca,NA,2.0,NA,NA,NA,NA
612,Androsace cantabrica,9.0,2.0,3.0,3.0,1.0,NA
613,Androsace carnea,8.0,1.0,5.0,3.0,1.0,0.0
614,Androsace chaixii,NA,6.0,NA,NA,NA,NA
615,Androsace chamaejasme,9.0,2.0,4.7,8.3,2.0,0.0
616,Androsace elongata,8.7,6.7,2.8,6.5,2.0,0.0
617,Androsace halleri,8.5,2.3,5.0,2.5,1.0,0.0
618,Androsace hausmannii,8.3,1.5,3.0,8.3,1.3,0.0
619,Androsace helvetica,9.0,1.8,5.0,8.0,2.3,0.0
620,Androsace lactea,8.0,3.0,3.3,7.7,2.0,0.0
621,Androsace laggeri,8.2,1.9,4.6,2.3,1.7,0.0
622,Androsace mathildae,9.0,2.0,2.0,7.0,1.0,0.0
623,Androsace maxima,8.0,7.3,3.4,7.0,3.5,0.6
624,Androsace obtusifolia,8.3,1.8,5.0,1.0,1.0,0.0
625,Androsace pubescens,7.0,2.0,2.0,7.0,1.0,0.0
626,Androsace septentrionalis,8.3,5.7,3.0,5.0,2.0,0.0
627,Androsace vandellii,8.0,1.7,3.5,3.0,1.5,0.0
628,Androsace villosa,8.7,2.9,3.9,7.3,1.8,0.0
629,Androsace vitaliana,9.0,2.3,4.0,4.0,1.0,0.0
630,Androsace wulfeniana,7.0,1.5,5.0,2.0,2.0,0.0
631,Andryala arenaria,8.6,7.9,2.6,4.3,2.9,1.0
632,Andryala dentata,8.0,7.0,2.0,2.0,1.0,0.0
633,Andryala integrifolia,7.7,8.0,3.3,5.3,x,0.0
634,Andryala ragusina,8.5,7.5,3.0,4.5,2.5,0.0
635,Anemonastrum narcissiflorum,8.0,2.8,5.3,6.8,4.0,0.0
636,Anemone apennina,4.5,5.5,5.0,5.5,5.0,0.0
637,Anemone baldensis,8.0,1.5,5.0,7.0,1.0,0.0
638,Anemone blanda,3.0,8.5,3.0,6.0,3.0,0.0
639,Anemone coronaria,7.3,8.3,4.7,6.3,4.3,0.0
640,Anemone hortensis,7.3,8.3,4.3,6.0,3.7,0.0
641,Anemone nemorosa,x,x,5.9,5.2,x,0.0
642,Anemone palmata,8.0,8.0,4.5,7.5,4.0,0.0
643,Anemone pavoniana,9.0,3.0,2.0,8.0,1.0,NA
644,Anemone pavonina,7.3,9.0,4.5,7.3,3.5,0.0
645,Anemone ranunculoides,x,x,6.5,7.8,7.0,0.0
646,Anemone sylvestris,6.6,x,3.5,7.4,3.0,0.0
647,Anemone trifolia,3.7,6.7,5.5,6.3,6.3,0.0
648,Anethum graveolens,7.3,7.4,4.5,6.0,6.5,0.0
649,Angelica archangelica,7.1,4.6,8.4,6.3,8.3,0.7
650,Angelica heterocarpa,8.0,6.0,7.0,6.0,6.0,0.0
651,Angelica major,7.6,NA,NA,4.2,3.9,NA
652,Angelica palustris,7.0,5.8,8.2,6.0,7.5,0.0
653,Angelica pyrenaea,8.5,4.0,8.0,2.5,1.5,0.0
654,Angelica razulii,8.0,3.0,6.0,5.0,7.0,0.0
655,Angelica sylvestris,x,x,x,5.9,x,0.0
656,Anisantha diandra,7.8,x,3.2,6.8,x,0.3
657,Anisantha fasciculata,8.5,11.0,2.0,7.0,3.0,1.0
658,Anisantha madritensis,7.8,x,2.8,7.3,6.0,0.3
659,Anisantha rigida,8.2,x,3.0,7.3,x,0.4
660,Anisantha rubens,8.3,9.2,1.8,7.3,x,1.0
661,Anisantha sterilis,7.3,6.3,3.9,6.7,6.0,0.0
662,Anisantha tectorum,8.2,6.3,3.1,7.7,4.6,0.0
663,Anogramma leptophylla,x,x,3.0,x,2.8,0.0
664,Antennaria alpina,NA,NA,5.0,NA,NA,NA
665,Antennaria carpatica,8.2,1.9,5.3,6.0,2.0,0.0
666,Antennaria dioica,7.9,3.7,4.2,3.3,2.1,0.0
667,Anthemis abrotanifolia,8.0,NA,3.0,NA,NA,0.0
668,Anthemis aetnensis,9.0,3.0,2.0,1.0,1.0,0.0
669,Anthemis ammanthus,8.5,11.0,2.0,9.0,6.0,3.0
670,Anthemis arvensis,7.4,x,4.0,x,5.7,0.0
671,Anthemis auriculata,8.3,10.2,4.1,5.5,3.8,0.3
672,Anthemis chia,7.0,9.0,3.0,7.0,7.0,0.0
673,Anthemis cotula,7.3,x,4.2,6.0,5.6,0.3
674,Anthemis cretica,8.5,x,3.0,x,1.6,0.0
675,Anthemis cupaniana,5.0,7.0,5.0,7.0,3.0,0.0
676,Anthemis filicaulis,8.0,11.0,2.0,9.0,6.0,2.0
677,Anthemis glaberrima,8.0,11.0,3.0,9.0,6.0,3.0
678,Anthemis hydruntina,9.0,10.0,2.0,6.0,2.0,0.0
679,Anthemis ismelia,6.0,9.0,3.0,8.0,2.0,0.0
680,Anthemis maritima,9.0,9.0,4.0,7.0,4.5,2.5
681,Anthemis muricata,9.0,10.0,2.0,6.0,2.0,0.0
682,Anthemis peregrina,8.5,9.0,1.0,NA,1.0,0.0
683,Anthemis pseudocotula,8.0,11.0,5.0,8.0,7.0,0.0
684,Anthemis rhodensis,8.0,11.0,1.0,8.0,2.0,0.0
685,Anthemis rigida,7.5,10.0,3.3,7.0,6.5,1.0
686,Anthemis ruthenica,7.9,6.6,3.2,5.3,3.3,0.0
687,Anthemis scopulorum,9.0,11.0,4.0,9.0,NA,NA
688,Anthemis secundiramea,9.0,9.3,3.8,6.8,6.0,2.0
689,Anthemis sterilis,8.0,6.3,3.5,NA,NA,NA
690,Anthemis tomentella,8.0,NA,3.0,9.0,4.0,1.0
691,Anthemis tomentosa,9.0,9.5,4.5,8.0,7.0,4.5
692,Anthericum liliago,7.2,6.1,3.1,6.6,2.8,0.0
693,Anthericum ramosum,6.8,5.6,3.5,6.6,3.0,0.0
694,Anthoxanthum amarum,9.0,8.0,7.0,1.0,1.0,NA
695,Anthoxanthum aristatum,7.4,7.0,2.7,2.8,3.0,0.0
696,Anthoxanthum gracile,7.5,9.5,3.5,5.5,4.0,0.0
697,Anthoxanthum odoratum aggr.,7.3,3.9,x,x,3.2,0.1
698,Anthoxanthum ovatum,7.0,9.5,3.0,5.0,2.5,0.0
699,Anthoxanthum pauciflorum,8.0,9.0,7.0,7.0,3.0,0.0
700,Anthriscus caucalis,7.3,x,x,6.0,6.5,0.1
701,Anthriscus cerefolium,6.2,6.7,5.1,6.7,8.3,0.0
702,Anthriscus nitidus,4.6,3.9,5.9,7.2,7.5,0.0
703,Anthriscus sylvestris,x,x,x,6.6,7.4,0.0
704,Anthriscus tenerrimus,5.0,11.0,4.0,7.0,4.0,0.0
705,Anthyllis aegaea,8.0,11.0,3.0,8.0,6.0,2.0
706,Anthyllis aurea,8.6,7.0,2.8,7.5,2.1,0.0
707,Anthyllis barba-jovis,8.5,9.5,4.0,6.5,4.5,3.5
708,Anthyllis cytisoides,8.0,8.0,2.0,8.0,4.0,0.0
709,Anthyllis hermanniae,8.0,x,2.3,x,3.0,0.3
710,Anthyllis lotoides,8.5,8.2,2.5,4.7,3.0,0.1
711,Anthyllis montana,9.0,6.0,3.5,9.0,2.5,0.0
712,Anthyllis vulneraria,7.9,x,3.8,7.3,2.6,0.0
713,Antinoria agrostidea,8.0,6.0,9.0,5.0,3.0,0.0
714,Antinoria insularis,8.3,8.3,8.3,4.3,4.3,0.0
715,Antirrhinum braun-blanquetii,9.0,7.0,1.0,8.0,2.0,NA
716,Antirrhinum latifolium,9.0,8.0,2.0,NA,1.0,0.0
717,Antirrhinum majus,7.1,x,3.8,7.1,5.8,0.3
718,Antirrhinum meonanthum,9.0,7.0,1.0,6.0,1.0,NA
719,Antirrhinum siculum,9.0,10.0,2.0,NA,1.0,0.0
720,Apera interrupta,8.0,6.7,3.6,x,x,0.6
721,Apera spica-venti,6.7,5.8,5.1,4.6,5.0,0.0
722,Aphanes arvensis,6.8,x,x,4.7,4.9,0.0
723,Aphanes australis,7.4,7.0,4.0,4.0,3.6,0.0
724,Aphanes cornucopioides,9.0,7.0,1.0,5.0,4.0,0.0
725,Aphanes floribunda,7.5,9.0,4.0,5.0,5.0,0.0
726,Aphanes microcarpa,8.0,7.7,2.5,4.5,4.0,0.0
727,Aphanes minutiflora,8.0,9.5,NA,NA,6.0,NA
728,Aphanes pusilla,8.0,9.0,3.0,4.0,2.0,0.0
729,Aphyllanthes monspeliensis,8.0,7.5,3.7,6.3,2.7,0.0
730,Apium graveolens,7.9,x,7.8,6.7,7.2,2.7
731,Aposeris foetida,4.0,4.0,5.2,6.0,5.0,0.0
732,Aquilegia alpina,7.0,2.7,5.5,5.5,6.5,0.0
733,Aquilegia atrata,6.0,4.0,4.0,8.0,3.3,0.0
734,Aquilegia barbaricina,6.0,6.0,5.0,4.0,3.0,0.0
735,Aquilegia bertolonii,6.0,4.5,5.0,6.0,3.0,0.0
736,Aquilegia confusa,8.0,3.0,4.0,7.0,2.0,0.0
737,Aquilegia dichroa,7.0,9.0,11.0,5.0,5.0,NA
738,Aquilegia discolor,9.0,2.0,5.0,7.0,1.0,NA
739,Aquilegia dumeticola,6.0,7.0,4.0,7.0,6.0,0.0
740,Aquilegia einseleana,7.5,x,4.5,8.0,3.0,0.0
741,Aquilegia litardierei,7.0,3.0,7.0,5.0,3.0,0.0
742,Aquilegia magellensis,5.0,4.0,4.0,7.0,5.0,0.0
743,Aquilegia nigricans,6.8,4.3,5.1,8.0,3.0,0.0
744,Aquilegia nugorensis,6.0,4.0,5.0,6.0,3.0,0.0
745,Aquilegia pyrenaica,NA,NA,5.0,NA,NA,NA
746,Aquilegia transsilvanica,8.0,3.0,6.3,NA,NA,NA
747,Aquilegia vulgaris,6.3,5.9,4.8,7.3,4.6,0.0
748,Arabidopsis arenosa,8.0,5.5,x,6.2,2.2,0.0
749,Arabidopsis cebennensis,6.0,2.0,6.0,7.0,6.0,0.0
750,Arabidopsis halleri,7.7,4.0,6.0,3.6,3.5,0.0
751,Arabidopsis neglecta,8.0,2.3,6.3,NA,NA,NA
752,Arabidopsis pedemontana,9.0,3.5,2.0,2.0,2.0,0.0
753,Arabidopsis petraea,8.1,3.7,3.5,8.0,1.4,0.0
754,Arabidopsis thaliana,7.0,5.9,3.6,5.3,4.0,0.0
755,Arabis allionii,7.0,3.5,3.0,3.0,3.0,0.0
756,Arabis alpina,7.7,x,x,8.4,2.8,0.0
757,Arabis auriculata,x,7.0,3.4,7.4,3.0,0.0
758,Arabis caerulea,8.0,1.5,7.3,9.0,4.0,0.0
759,Arabis ciliata,9.0,2.4,4.5,8.3,2.5,0.0
760,Arabis collina,7.0,6.0,4.0,8.0,3.0,0.0
761,Arabis cretica,7.0,8.0,4.0,7.0,3.0,0.0
762,Arabis hirsuta aggr.,7.4,x,x,7.5,x,0.0
763,Arabis hornungiana,8.0,3.0,6.5,NA,NA,NA
764,Arabis nova,6.5,x,4.5,7.5,2.5,0.0
765,Arabis planisiliqua,6.9,x,6.4,7.3,3.7,0.0
766,Arabis procurrens,NA,8.0,NA,NA,NA,NA
767,Arabis pumila,8.3,2.0,2.0,8.3,2.0,0.0
768,Arabis rosea,8.0,8.0,3.0,NA,2.0,0.0
769,Arabis scabra,8.0,3.7,3.0,8.0,2.0,0.0
770,Arabis scopoliana,NA,2.0,NA,NA,NA,NA
771,Arabis serpillifolia,9.0,2.3,4.0,7.5,2.0,0.0
772,Arabis soyeri,7.7,2.5,8.8,8.3,2.7,0.0
773,Arabis stellulata,7.0,2.0,6.0,9.0,2.0,0.0
774,Arabis stenocarpa,9.0,8.0,2.0,6.0,1.0,NA
775,Arabis surculosa,9.0,3.0,4.0,7.0,2.0,0.0
776,Arabis verna,6.6,7.6,3.8,6.5,5.3,0.0
777,Arabis vochinensis,8.0,2.7,4.0,8.0,2.5,0.0
778,Arbutus andrachne,7.5,x,4.3,8.0,1.0,1.0
779,Arbutus unedo,7.3,9.0,3.6,5.2,2.0,0.0
780,Arceuthobium oxycedri,6.0,8.3,3.5,x,x,x
781,Arctagrostis latifolia,NA,NA,6.0,NA,NA,NA
782,Arctium lappa,x,x,5.6,6.9,8.9,0.1
783,Arctium minus,8.3,5.0,x,7.2,7.8,0.1
784,Arctium nemorosum,5.5,5.1,6.5,6.8,8.4,0.0
785,Arctium tomentosum,7.8,5.0,5.3,8.2,8.8,0.2
786,Arctostaphylos alpinus,7.0,1.6,4.8,2.5,2.0,0.0
787,Arctostaphylos uva-ursi,6.8,3.6,3.3,x,1.7,0.0
788,Arctotheca calendula,8.0,9.0,3.0,8.0,5.0,0.0
789,Aremonia agrimonoides,4.0,7.0,5.3,8.3,5.3,0.0
790,Arenaria aegaea,8.0,11.0,2.0,8.0,4.0,3.0
791,Arenaria aggregata aggr.,8.8,x,2.2,5.9,1.6,0.0
792,Arenaria armerina,8.7,4.0,2.1,7.2,1.6,0.0
793,Arenaria balearica,3.5,6.5,6.5,x,3.5,0.0
